AAPL,GM,MSFT,TSLA,SPOT,BOA,KO
167.19989013671875,38.95008850097656,83.53968048095703,320.5299987792969,,0.41999998688697815,42.984371185302734
167.1707763671875,39.900543212890625,83.92847442626953,317.25,,0.41999998688697815,42.889976501464844
167.947265625,41.130550384521484,84.66714477539062,314.6199951171875,,0.41999998688697815,43.49406433105469
169.85940551757812,41.00941467285156,85.71688079833984,316.5799865722656,,0.41999998688697815,43.484619140625
169.22850036621094,41.205101013183594,85.80433654785156,336.4100036621094,,0.41999998688697815,43.41855239868164
169.20909118652344,41.04668426513672,85.74602508544922,333.69000244140625,,0.41999998688697815,43.63564682006836
169.17025756835938,40.068275451660156,85.35723876953125,334.79998779296875,,0.41999998688697815,43.484619140625
170.1311798095703,41.17714309692383,85.60994720458984,337.95001220703125,,0.41999998688697815,43.45630645751953
171.88803100585938,41.0653190612793,87.08733367919922,336.2200012207031,,0.41999998688697815,43.56012725830078
171.01446533203125,41.17714309692383,85.87236785888672,340.05999755859375,,0.44999998807907104,43.9188117980957
173.83900451660156,41.02804946899414,87.6121826171875,347.1600036621094,,0.4099999964237213,44.192535400390625
173.99429321289062,40.8696403503418,87.57330322265625,344.57000732421875,,0.4099999964237213,44.249168395996094
173.21778869628906,40.208045959472656,87.47610473632812,350.0199890136719,,0.4099999964237213,44.513458251953125
171.80067443847656,40.338504791259766,89.04096221923828,351.55999755859375,,0.5400000214576721,44.72111129760742
171.83949279785156,40.422359466552734,89.32282257080078,352.7900085449219,,0.5099999904632568,44.78718185424805
169.10232543945312,41.14918899536133,89.24506378173828,345.8900146484375,,0.6499999761581421,45.145851135253906
166.08367919921875,40.21736526489258,89.74076843261719,337.6400146484375,,0.6000000238418579,45.155296325683594
166.471923828125,40.524864196777344,91.42225646972656,342.8500061035156,,0.5600000023841858,45.80656433105469
163.02621459960938,40.086910247802734,91.28617858886719,349.5299987792969,,0.5600000023841858,45.02314758300781
162.06527709960938,39.788726806640625,90.1392593383789,345.82000732421875,,0.5099999904632568,44.74942398071289
162.51177978515625,39.51850128173828,92.34561157226562,354.30999755859375,,,44.9193229675293
162.8514862060547,39.537139892578125,91.61664581298828,349.25,,,44.78718185424805
155.78536987304688,38.20463562011719,89.20618438720703,343.75,,,44.107582092285156
151.89312744140625,36.84417724609375,85.53218841552734,333.1300048828125,,,42.37084197998047
158.2410125732422,39.00599670410156,88.76880645751953,333.9700012207031,,,42.16318893432617
154.85353088378906,39.49986267089844,87.09703826904297,345.0,,,42.05936050415039
150.59249877929688,37.9716796875,82.62604522705078,315.2300109863281,,,40.68129348754883
152.43446350097656,38.633270263671875,85.7071533203125,310.4200134277344,,,40.70961380004883
158.57432556152344,39.13645553588867,86.6304931640625,315.7300109863281,,,41.50247573852539
160.16290283203125,38.577362060546875,87.31087493896484,323.6600036621094,,,41.710121154785156
163.1158905029297,38.95941162109375,88.67800903320312,322.30999755859375,,,41.62517547607422
168.59303283691406,38.996681213378906,90.48458099365234,334.07000732421875,,,42.26701354980469
168.04727172851562,38.28849792480469,89.8400650024414,335.489990234375,,,42.45579147338867
167.48202514648438,37.990318298339844,90.54315948486328,334.7699890136719,,,41.5213508605957
166.7218475341797,37.79463195800781,89.34203338623047,333.29998779296875,,,40.9078254699707
168.11550903320312,38.12076187133789,89.57640838623047,346.1700134277344,,,41.07772445678711
171.03924560546875,38.12076187133789,91.85169982910156,352.04998779296875,,,41.568546295166016
174.42103576660156,38.70781707763672,93.17977142333984,357.4200134277344,,,41.55910110473633
173.85580444335938,37.431217193603516,91.9884033203125,350.989990234375,,,41.17211151123047
173.59266662597656,36.66712951660156,91.56851959228516,343.05999755859375,,,40.794559478759766
170.55194091796875,35.21349334716797,90.67011260986328,330.92999267578125,,,40.992774963378906
171.73118591308594,34.87803268432617,90.86541748046875,335.1199951171875,,,41.266502380371094
172.32571411132812,35.166900634765625,91.4415512084961,333.3500061035156,,,41.42695999145508
172.17950439453125,35.34394454956055,91.12908172607422,328.20001220703125,,,41.464717864990234
170.58120727539062,35.166900634765625,91.65640258789062,332.29998779296875,,,41.36088562011719
172.44264221191406,35.61872100830078,92.2130126953125,329.1000061035156,,,41.955535888671875
175.40536499023438,35.61872100830078,94.27347564697266,327.1700134277344,,,42.304771423339844
177.10113525390625,35.60931396484375,94.49807739257812,345.510009765625,,,42.031044006347656
175.3956298828125,35.77873611450195,92.19348907470703,341.8399963378906,,,42.06880187988281
173.9044952392578,35.47752380371094,91.6466293334961,326.6300048828125,,,41.68791580200195
174.10916137695312,35.628135681152344,91.9688949584961,325.6000061035156,,,41.583168029785156
173.4951934814453,35.712852478027344,92.37902069091797,321.3500061035156,,,41.383201599121094
170.84434509277344,34.837440490722656,90.70917510986328,313.55999755859375,,,41.1927604675293
170.78585815429688,34.724491119384766,90.94354248046875,310.54998779296875,,,41.0975456237793
166.916748046875,35.37398147583008,90.30879974365234,316.5299987792969,,,40.945186614990234
164.5582733154297,34.2161865234375,87.68194580078125,309.1000061035156,,,40.71665573120117
160.7476348876953,33.10545349121094,85.13322448730469,301.5400085449219,,,40.30720520019531
168.378662109375,33.877323150634766,91.5782699584961,304.17999267578125,,,40.64999771118164
164.06121826171875,32.82306671142578,87.36946868896484,279.17999267578125,,,40.8404426574707
162.24851989746094,33.38784408569336,87.29134368896484,257.7799987792969,,,41.24989318847656
163.5154571533203,34.2067756652832,89.12718963623047,266.1300048828125,,,41.35464096069336
162.44342041015625,33.66082000732422,86.44175720214844,252.47999572753906,,,40.63095474243164
